CMDLINE python3 server.py
MEM 0.246094 1527315879.0281
MEM 13.335938 1527315879.1294
MEM 39.585938 1527315879.2323
MEM 49.398438 1527315879.3372
MEM 77.976562 1527315879.4380
MEM 86.101562 1527315879.5418
MEM 93.414062 1527315879.6464
MEM 101.992188 1527315879.7467
MEM 103.410156 1527315879.8491
MEM 108.066406 1527315879.9493
MEM 114.644531 1527315880.0518
MEM 120.820312 1527315880.1529
MEM 131.687500 1527315880.2544
MEM 140.589844 1527315880.3568
MEM 150.292969 1527315880.4571
MEM 157.687500 1527315880.5623
MEM 164.429688 1527315880.6627
MEM 193.710938 1527315880.7664
MEM 185.230469 1527315880.8716
MEM 186.382812 1527315880.9739
MEM 187.441406 1527315881.0757
MEM 188.738281 1527315881.1809
MEM 190.164062 1527315881.2841
MEM 191.496094 1527315881.3879
MEM 192.570312 1527315881.4917
MEM 193.921875 1527315881.5952
MEM 195.378906 1527315881.6961
MEM 196.789062 1527315881.8010
MEM 198.171875 1527315881.9033
MEM 198.800781 1527315882.0038
MEM 200.769531 1527315882.1063
MEM 202.039062 1527315882.2066
MEM 207.488281 1527315882.3118
MEM 220.867188 1527315882.4170
MEM 225.843750 1527315882.5213
MEM 228.179688 1527315882.6248
MEM 236.917969 1527315882.7290
MEM 237.171875 1527315882.8294
MEM 237.425781 1527315882.9306
MEM 237.589844 1527315883.0311
MEM 237.875000 1527315883.1314
MEM 238.132812 1527315883.2366
MEM 238.253906 1527315883.3371
MEM 246.128906 1527315883.4411
MEM 250.601562 1527315883.5414
MEM 250.601562 1527315883.6465
MEM 250.601562 1527315883.7492
MEM 250.601562 1527315883.8497
MEM 250.601562 1527315883.9551
MEM 250.601562 1527315884.0606
MEM 250.601562 1527315884.1651
MEM 250.601562 1527315884.2657
MEM 250.601562 1527315884.3711
MEM 250.601562 1527315884.4761
MEM 250.601562 1527315884.5792
MEM 250.601562 1527315884.6812
MEM 250.601562 1527315884.7839
MEM 250.601562 1527315884.8843
MEM 250.601562 1527315884.9872
MEM 250.601562 1527315885.0924
MEM 250.601562 1527315885.1931
MEM 250.601562 1527315885.2951
MEM 250.601562 1527315885.3959
MEM 250.601562 1527315885.5013
MEM 250.601562 1527315885.6021
MEM 250.601562 1527315885.7051
MEM 250.601562 1527315885.8103
MEM 250.601562 1527315885.9157
MEM 250.613281 1527315886.0185
MEM 250.613281 1527315886.1211
MEM 250.613281 1527315886.2233
MEM 250.613281 1527315886.3237
MEM 250.613281 1527315886.4287
MEM 250.613281 1527315886.5330
MEM 250.613281 1527315886.6344
MEM 272.917969 1527315886.7397
MEM 278.167969 1527315886.8409
MEM 278.238281 1527315886.9454
MEM 278.441406 1527315887.0491
MEM 278.449219 1527315887.1532
MEM 278.414062 1527315887.2553
MEM 278.917969 1527315887.3617
MEM 278.921875 1527315887.4661
MEM 278.933594 1527315887.5693
MEM 278.937500 1527315887.6701
MEM 278.953125 1527315887.7813
MEM 278.957031 1527315887.8825
MEM 278.957031 1527315887.9891
MEM 279.007812 1527315888.0921
MEM 279.007812 1527315888.2034
MEM 279.015625 1527315888.3070
MEM 279.027344 1527315888.4167
MEM 279.050781 1527315888.5201
MEM 279.058594 1527315888.6372
MEM 279.062500 1527315888.7409
MEM 279.066406 1527315888.8412
MEM 279.085938 1527315888.9457
MEM 279.093750 1527315889.0522
MEM 279.144531 1527315889.1568
MEM 285.089844 1527315889.2576
MEM 286.574219 1527315889.3622
MEM 286.593750 1527315889.4661
MEM 286.593750 1527315889.5682
MEM 286.613281 1527315889.6688
MEM 286.625000 1527315889.7694
MEM 286.652344 1527315889.8743
MEM 286.656250 1527315889.9747
MEM 286.875000 1527315890.0801
MEM 287.253906 1527315890.1815
MEM 287.261719 1527315890.2906
MEM 287.265625 1527315890.3942
MEM 287.269531 1527315890.4994
MEM 287.277344 1527315890.6000
MEM 287.277344 1527315890.7035
MEM 287.281250 1527315890.8068
MEM 287.289062 1527315890.9091
MEM 287.292969 1527315891.0136
MEM 287.296875 1527315891.1138
MEM 287.304688 1527315891.2159
MEM 287.304688 1527315891.3245
MEM 287.312500 1527315891.4279
MEM 287.320312 1527315891.5306
MEM 287.328125 1527315891.6382
MEM 290.554688 1527315891.7388
MEM 294.492188 1527315891.8391
MEM 295.113281 1527315891.9438
MEM 295.675781 1527315892.0443
MEM 295.679688 1527315892.1469
MEM 295.687500 1527315892.2508
MEM 295.691406 1527315892.3571
MEM 295.695312 1527315892.4613
MEM 295.703125 1527315892.5741
MEM 295.703125 1527315892.6769
MEM 295.710938 1527315892.7814
MEM 295.714844 1527315892.8822
MEM 295.718750 1527315892.9862
MEM 295.726562 1527315893.0975
MEM 295.738281 1527315893.2022
MEM 295.742188 1527315893.3036
MEM 295.746094 1527315893.4080
MEM 295.753906 1527315893.5163
MEM 295.753906 1527315893.6173
MEM 295.765625 1527315893.7295
MEM 295.769531 1527315893.8304
MEM 295.996094 1527315893.9355
MEM 296.000000 1527315894.0387
MEM 296.003906 1527315894.1408
MEM 296.011719 1527315894.2448
MEM 296.015625 1527315894.3476
MEM 296.023438 1527315894.4547
MEM 296.023438 1527315894.5596
MEM 296.031250 1527315894.6640
MEM 296.039062 1527315894.7683
MEM 296.046875 1527315894.8769
MEM 296.046875 1527315894.9819
MEM 296.050781 1527315895.0857
MEM 296.058594 1527315895.1892
MEM 296.062500 1527315895.2911
MEM 296.066406 1527315895.3967
MEM 296.074219 1527315895.4977
MEM 296.078125 1527315895.5994
MEM 296.085938 1527315895.7000
MEM 296.089844 1527315895.8032
MEM 296.097656 1527315895.9072
MEM 296.097656 1527315896.0123
MEM 296.105469 1527315896.1154
MEM 296.109375 1527315896.2162
MEM 296.113281 1527315896.3180
MEM 296.113281 1527315896.4260
MEM 296.128906 1527315896.5291
MEM 296.128906 1527315896.6342
MEM 296.132812 1527315896.7382
MEM 296.136719 1527315896.8406
MEM 296.144531 1527315896.9434
MEM 296.148438 1527315897.0463
MEM 296.156250 1527315897.1506
MEM 296.156250 1527315897.2531
MEM 296.160156 1527315897.3594
MEM 296.167969 1527315897.4602
MEM 296.171875 1527315897.5696
MEM 296.171875 1527315897.6698
MEM 296.175781 1527315897.7744
MEM 296.179688 1527315897.8808
MEM 296.179688 1527315897.9846
MEM 296.183594 1527315898.0921
MEM 296.187500 1527315898.1965
MEM 296.191406 1527315898.2981
MEM 296.191406 1527315898.3997
MEM 296.195312 1527315898.5032
MEM 296.195312 1527315898.6108
MEM 296.195312 1527315898.7140
MEM 296.195312 1527315898.8146
MEM 296.195312 1527315898.9174
MEM 296.195312 1527315899.0201
MEM 296.195312 1527315899.1234
MEM 296.195312 1527315899.2262
MEM 296.171875 1527315899.3314
MEM 296.171875 1527315899.4316
MEM 296.171875 1527315899.5353
MEM 296.171875 1527315899.6389
MEM 296.171875 1527315899.7413
MEM 296.171875 1527315899.8447
MEM 296.171875 1527315899.9484
MEM 296.171875 1527315900.0497
MEM 296.171875 1527315900.1541
MEM 296.171875 1527315900.2614
MEM 296.171875 1527315900.3652
