CMDLINE python3 server.py
MEM 0.246094 1527305969.2733
MEM 12.921875 1527305969.3754
MEM 40.382812 1527305969.4806
MEM 49.796875 1527305969.5810
MEM 81.554688 1527305969.6852
MEM 87.742188 1527305969.7858
MEM 97.769531 1527305969.8875
MEM 102.234375 1527305969.9926
MEM 107.058594 1527305970.0978
MEM 114.921875 1527305970.2001
MEM 124.847656 1527305970.3053
MEM 134.039062 1527305970.4105
MEM 144.593750 1527305970.5128
MEM 152.777344 1527305970.6144
MEM 160.394531 1527305970.7196
MEM 166.824219 1527305970.8244
MEM 180.941406 1527305970.9296
MEM 184.851562 1527305971.0315
MEM 186.210938 1527305971.1318
MEM 187.578125 1527305971.2356
MEM 189.156250 1527305971.3403
MEM 190.476562 1527305971.4416
MEM 191.828125 1527305971.5450
MEM 193.257812 1527305971.6482
MEM 194.859375 1527305971.7534
MEM 196.042969 1527305971.8538
MEM 197.246094 1527305971.9556
MEM 198.082031 1527305972.0568
MEM 200.335938 1527305972.1620
MEM 203.410156 1527305972.2649
MEM 216.722656 1527305972.3654
MEM 221.382812 1527305972.4662
MEM 224.566406 1527305972.5714
MEM 226.066406 1527305972.6753
MEM 234.656250 1527305972.7805
MEM 234.875000 1527305972.8815
MEM 234.960938 1527305972.9819
MEM 235.054688 1527305973.0823
MEM 235.246094 1527305973.1874
MEM 235.394531 1527305973.2924
MEM 235.542969 1527305973.3927
MEM 247.621094 1527305973.4968
MEM 247.390625 1527305973.6008
