CMDLINE python3 server.py
MEM 0.246094 1527218701.7539
MEM 13.511719 1527218701.8592
MEM 30.222656 1527218701.9618
MEM 30.222656 1527218702.0672
MEM 30.222656 1527218702.1689
MEM 30.222656 1527218702.2694
MEM 30.222656 1527218702.3697
MEM 30.222656 1527218702.4701
MEM 30.222656 1527218702.5712
MEM 30.222656 1527218702.6766
MEM 30.222656 1527218702.7795
MEM 30.222656 1527218702.8849
MEM 30.222656 1527218702.9895
MEM 30.222656 1527218703.0905
MEM 30.222656 1527218703.1960
MEM 30.222656 1527218703.3014
MEM 30.222656 1527218703.4037
MEM 30.222656 1527218703.5063
MEM 30.222656 1527218703.6079
MEM 30.222656 1527218703.7133
MEM 30.222656 1527218703.8182
MEM 30.222656 1527218703.9236
MEM 30.222656 1527218704.0260
MEM 30.222656 1527218704.1314
MEM 30.222656 1527218704.2369
MEM 30.222656 1527218704.3423
MEM 30.222656 1527218704.4478
MEM 30.222656 1527218704.5525
MEM 30.222656 1527218704.6552
MEM 30.222656 1527218704.7580
MEM 30.222656 1527218704.8626
MEM 30.222656 1527218704.9680
MEM 30.222656 1527218705.0714
MEM 30.222656 1527218705.1727
MEM 30.222656 1527218705.2781
MEM 30.222656 1527218705.3810
MEM 30.222656 1527218705.4847
MEM 30.222656 1527218705.5868
MEM 30.222656 1527218705.6877
MEM 30.222656 1527218705.7917
MEM 30.222656 1527218705.8946
MEM 30.222656 1527218705.9967
MEM 30.222656 1527218706.1017
MEM 30.222656 1527218706.2049
MEM 30.234375 1527218706.3077
MEM 30.234375 1527218706.4083
MEM 30.234375 1527218706.5087
MEM 30.234375 1527218706.6137
MEM 30.234375 1527218706.7161
MEM 30.234375 1527218706.8183
MEM 30.234375 1527218706.9231
MEM 43.152344 1527218707.0248
MEM 44.054688 1527218707.1292
MEM 44.695312 1527218707.2298
MEM 45.312500 1527218707.3313
MEM 45.726562 1527218707.4359
MEM 46.328125 1527218707.5367
MEM 46.894531 1527218707.6399
MEM 47.328125 1527218707.7402
MEM 53.656250 1527218707.8405
MEM 67.382812 1527218707.9447
MEM 67.441406 1527218708.0452
MEM 67.441406 1527218708.1500
MEM 67.453125 1527218708.2551
MEM 67.457031 1527218708.3578
MEM 67.480469 1527218708.4584
MEM 67.492188 1527218708.5635
MEM 67.527344 1527218708.6647
MEM 67.531250 1527218708.7686
MEM 67.531250 1527218708.8725
MEM 67.535156 1527218708.9735
MEM 67.542969 1527218709.0768
MEM 67.546875 1527218709.1805
MEM 67.566406 1527218709.2856
MEM 67.566406 1527218709.3894
MEM 67.570312 1527218709.4938
MEM 67.570312 1527218709.5948
MEM 67.578125 1527218709.6955
MEM 67.582031 1527218709.7995
MEM 67.589844 1527218709.9027
MEM 67.597656 1527218710.0055
MEM 67.601562 1527218710.1058
MEM 67.605469 1527218710.2078
MEM 67.609375 1527218710.3088
MEM 67.609375 1527218710.4099
MEM 67.613281 1527218710.5106
MEM 67.621094 1527218710.6147
MEM 67.625000 1527218710.7185
MEM 67.628906 1527218710.8218
MEM 67.644531 1527218710.9221
MEM 67.648438 1527218711.0224
MEM 67.652344 1527218711.1265
MEM 67.664062 1527218711.2283
MEM 67.671875 1527218711.3292
MEM 67.679688 1527218711.4343
MEM 70.656250 1527218711.5383
MEM 73.472656 1527218711.6423
MEM 73.476562 1527218711.7426
MEM 73.523438 1527218711.8474
MEM 73.894531 1527218711.9516
MEM 74.011719 1527218712.0545
MEM 74.027344 1527218712.1555
MEM 74.054688 1527218712.2577
MEM 74.054688 1527218712.3583
MEM 74.058594 1527218712.4621
MEM 74.062500 1527218712.5624
MEM 74.082031 1527218712.6632
MEM 73.605469 1527218712.7655
MEM 68.921875 1527218712.8697
MEM 73.617188 1527218712.9724
MEM 73.632812 1527218713.0765
MEM 73.640625 1527218713.1794
MEM 73.656250 1527218713.2827
MEM 73.656250 1527218713.3834
MEM 73.937500 1527218713.4874
MEM 73.941406 1527218713.5882
MEM 73.941406 1527218713.6892
MEM 73.953125 1527218713.7905
MEM 73.953125 1527218713.8923
MEM 73.960938 1527218713.9958
MEM 73.964844 1527218714.1009
MEM 73.964844 1527218714.2017
MEM 73.964844 1527218714.3043
MEM 73.992188 1527218714.4047
MEM 74.003906 1527218714.5079
MEM 74.023438 1527218714.6116
MEM 74.031250 1527218714.7118
MEM 74.042969 1527218714.8121
MEM 74.042969 1527218714.9126
MEM 74.046875 1527218715.0128
MEM 74.046875 1527218715.1136
MEM 74.066406 1527218715.2188
MEM 74.070312 1527218715.3191
MEM 74.070312 1527218715.4214
MEM 74.074219 1527218715.5216
MEM 74.078125 1527218715.6241
MEM 74.082031 1527218715.7251
MEM 74.093750 1527218715.8254
MEM 74.109375 1527218715.9280
MEM 74.113281 1527218716.0290
MEM 74.117188 1527218716.1337
MEM 74.117188 1527218716.2353
MEM 74.128906 1527218716.3395
MEM 74.140625 1527218716.4407
MEM 74.148438 1527218716.5414
MEM 74.152344 1527218716.6449
MEM 74.160156 1527218716.7488
MEM 74.160156 1527218716.8522
MEM 74.175781 1527218716.9536
MEM 74.179688 1527218717.0578
MEM 74.187500 1527218717.1588
MEM 74.191406 1527218717.2631
MEM 74.195312 1527218717.3640
MEM 74.195312 1527218717.4653
MEM 74.210938 1527218717.5680
MEM 74.214844 1527218717.6704
MEM 74.218750 1527218717.7731
MEM 74.210938 1527218717.8757
MEM 74.214844 1527218717.9761
MEM 74.226562 1527218718.0786
MEM 74.230469 1527218718.1800
MEM 74.253906 1527218718.2807
MEM 74.265625 1527218718.3812
MEM 74.269531 1527218718.4818
MEM 74.273438 1527218718.5866
MEM 74.277344 1527218718.6901
MEM 74.289062 1527218718.7921
MEM 74.292969 1527218718.8950
MEM 74.292969 1527218719.0002
MEM 74.300781 1527218719.1046
MEM 74.300781 1527218719.2056
MEM 74.316406 1527218719.3092
MEM 74.324219 1527218719.4095
MEM 74.332031 1527218719.5103
MEM 74.343750 1527218719.6106
MEM 74.351562 1527218719.7122
MEM 74.355469 1527218719.8155
MEM 74.359375 1527218719.9179
MEM 74.363281 1527218720.0191
MEM 74.382812 1527218720.1242
MEM 74.390625 1527218720.2284
MEM 74.394531 1527218720.3295
MEM 74.394531 1527218720.4298
MEM 74.414062 1527218720.5337
MEM 74.449219 1527218720.6341
MEM 74.449219 1527218720.7379
MEM 74.457031 1527218720.8413
MEM 74.464844 1527218720.9415
MEM 74.480469 1527218721.0419
MEM 74.230469 1527218721.1426
MEM 74.234375 1527218721.2460
MEM 74.234375 1527218721.3481
MEM 74.238281 1527218721.4512
MEM 74.324219 1527218721.5516
MEM 74.878906 1527218721.6518
MEM 74.882812 1527218721.7521
MEM 74.894531 1527218721.8525
MEM 74.902344 1527218721.9576
MEM 74.906250 1527218722.0622
MEM 74.914062 1527218722.1662
MEM 74.933594 1527218722.2689
MEM 74.937500 1527218722.3724
MEM 74.937500 1527218722.4734
MEM 74.953125 1527218722.5745
MEM 74.964844 1527218722.6749
MEM 74.968750 1527218722.7803
MEM 74.972656 1527218722.8818
MEM 74.976562 1527218722.9833
MEM 74.976562 1527218723.0839
MEM 74.980469 1527218723.1858
MEM 74.992188 1527218723.2899
MEM 75.003906 1527218723.3927
MEM 75.015625 1527218723.4969
MEM 75.023438 1527218723.6018
MEM 75.031250 1527218723.7070
MEM 75.035156 1527218723.8082
MEM 75.035156 1527218723.9121
MEM 75.035156 1527218724.0125
MEM 75.039062 1527218724.1162
MEM 75.046875 1527218724.2182
MEM 75.394531 1527218724.3227
MEM 75.593750 1527218724.4261
MEM 75.601562 1527218724.5286
MEM 75.601562 1527218724.6306
MEM 75.601562 1527218724.7311
MEM 75.613281 1527218724.8313
MEM 75.621094 1527218724.9327
MEM 75.621094 1527218725.0376
MEM 75.625000 1527218725.1388
MEM 75.628906 1527218725.2395
MEM 75.628906 1527218725.3407
MEM 75.628906 1527218725.4425
MEM 75.632812 1527218725.5450
MEM 75.640625 1527218725.6484
MEM 75.640625 1527218725.7535
MEM 75.648438 1527218725.8574
MEM 75.648438 1527218725.9586
MEM 75.648438 1527218726.0590
MEM 75.652344 1527218726.1593
MEM 75.664062 1527218726.2611
MEM 75.667969 1527218726.3621
MEM 75.667969 1527218726.4637
MEM 75.675781 1527218726.5643
MEM 75.683594 1527218726.6695
MEM 75.683594 1527218726.7720
MEM 75.691406 1527218726.8752
MEM 75.691406 1527218726.9755
MEM 75.695312 1527218727.0800
MEM 75.695312 1527218727.1852
MEM 75.703125 1527218727.2883
MEM 75.703125 1527218727.3917
MEM 75.707031 1527218727.4927
MEM 75.707031 1527218727.5936
MEM 75.710938 1527218727.6969
MEM 75.718750 1527218727.8004
