CMDLINE python3 server.py
MEM 0.246094 1527305736.3909
MEM 18.378906 1527305736.4962
MEM 43.585938 1527305736.6013
MEM 52.777344 1527305736.7050
MEM 85.269531 1527305736.8075
MEM 90.765625 1527305736.9079
MEM 100.710938 1527305737.0126
MEM 103.085938 1527305737.1178
MEM 109.265625 1527305737.2213
MEM 118.050781 1527305737.3227
MEM 129.261719 1527305737.4279
MEM 135.527344 1527305737.5294
MEM 148.292969 1527305737.6346
MEM 154.835938 1527305737.7398
MEM 162.371094 1527305737.8414
MEM 167.500000 1527305737.9460
MEM 181.351562 1527305738.0500
MEM 185.332031 1527305738.1513
MEM 186.355469 1527305738.2534
MEM 187.292969 1527305738.3585
MEM 188.484375 1527305738.4637
MEM 189.730469 1527305738.5679
MEM 190.742188 1527305738.6719
MEM 191.886719 1527305738.7772
MEM 193.074219 1527305738.8791
MEM 194.394531 1527305738.9794
MEM 195.601562 1527305739.0820
MEM 196.847656 1527305739.1839
MEM 197.730469 1527305739.2857
MEM 199.113281 1527305739.3860
MEM 200.687500 1527305739.4899
MEM 204.523438 1527305739.5951
MEM 221.351562 1527305739.6959
MEM 226.757812 1527305739.7964
MEM 229.230469 1527305739.8974
MEM 230.910156 1527305739.9979
MEM 239.097656 1527305740.1006
MEM 239.265625 1527305740.2009
MEM 239.414062 1527305740.3012
MEM 239.515625 1527305740.4015
MEM 239.722656 1527305740.5068
MEM 239.851562 1527305740.6070
MEM 239.941406 1527305740.7104
MEM 252.308594 1527305740.8136
MEM 250.062500 1527305740.9184
MEM 238.785156 1527305741.0223
