CMDLINE python3 server.py
MEM 0.308594 1527315378.3341
MEM 13.371094 1527315378.4362
MEM 40.171875 1527315378.5414
MEM 49.800781 1527315378.6448
MEM 80.128906 1527315378.7456
MEM 86.019531 1527315378.8459
MEM 94.910156 1527315378.9482
MEM 101.835938 1527315379.0536
MEM 103.570312 1527315379.1544
MEM 108.632812 1527315379.2575
MEM 115.222656 1527315379.3590
MEM 121.042969 1527315379.4612
MEM 131.910156 1527315379.5622
MEM 140.828125 1527315379.6630
MEM 150.328125 1527315379.7661
MEM 155.511719 1527315379.8713
MEM 162.722656 1527315379.9729
MEM 176.574219 1527315380.0760
MEM 184.347656 1527315380.1812
MEM 185.539062 1527315380.2815
MEM 187.000000 1527315380.3851
MEM 188.312500 1527315380.4871
MEM 189.316406 1527315380.5911
MEM 190.191406 1527315380.6959
MEM 191.460938 1527315380.8011
MEM 192.796875 1527315380.9047
MEM 194.269531 1527315381.0068
MEM 195.738281 1527315381.1076
MEM 197.195312 1527315381.2095
MEM 198.000000 1527315381.3147
MEM 199.484375 1527315381.4199
MEM 201.148438 1527315381.5212
MEM 205.628906 1527315381.6255
MEM 218.839844 1527315381.7283
MEM 223.679688 1527315381.8336
MEM 227.761719 1527315381.9368
MEM 235.453125 1527315382.0414
MEM 236.691406 1527315382.1467
MEM 236.867188 1527315382.2469
MEM 237.003906 1527315382.3507
MEM 237.316406 1527315382.4511
MEM 237.523438 1527315382.5535
MEM 237.726562 1527315382.6541
MEM 237.968750 1527315382.7563
MEM 250.328125 1527315382.8570
MEM 250.335938 1527315382.9590
MEM 250.335938 1527315383.0644
MEM 250.335938 1527315383.1682
MEM 250.335938 1527315383.2688
MEM 250.335938 1527315383.3705
MEM 250.335938 1527315383.4709
MEM 250.335938 1527315383.5719
MEM 250.335938 1527315383.6756
MEM 250.335938 1527315383.7802
MEM 250.335938 1527315383.8857
MEM 250.335938 1527315383.9900
MEM 250.335938 1527315384.0906
MEM 250.335938 1527315384.1948
MEM 250.335938 1527315384.3002
MEM 250.335938 1527315384.4020
MEM 250.335938 1527315384.5059
MEM 250.335938 1527315384.6114
MEM 250.347656 1527315384.7153
MEM 250.347656 1527315384.8207
MEM 250.347656 1527315384.9214
MEM 250.347656 1527315385.0268
MEM 250.347656 1527315385.1301
MEM 250.347656 1527315385.2349
MEM 250.347656 1527315385.3375
MEM 267.984375 1527315385.4383
MEM 277.578125 1527315385.5424
MEM 277.679688 1527315385.6468
MEM 277.722656 1527315385.7511
MEM 278.031250 1527315385.8542
MEM 278.394531 1527315385.9587
MEM 278.304688 1527315386.0627
MEM 279.566406 1527315386.1649
MEM 278.980469 1527315386.2655
MEM 278.851562 1527315386.3684
MEM 278.644531 1527315386.4713
MEM 278.394531 1527315386.5747
MEM 278.316406 1527315386.6777
MEM 277.933594 1527315386.7820
MEM 278.871094 1527315386.8837
MEM 279.511719 1527315386.9850
MEM 279.542969 1527315387.0872
MEM 279.550781 1527315387.1909
MEM 278.949219 1527315387.2920
MEM 278.789062 1527315387.3960
MEM 278.789062 1527315387.5002
MEM 278.800781 1527315387.6044
MEM 277.714844 1527315387.7053
MEM 279.109375 1527315387.8101
MEM 280.292969 1527315387.9129
MEM 280.128906 1527315388.0222
MEM 280.144531 1527315388.1249
MEM 280.148438 1527315388.2280
MEM 280.171875 1527315388.3314
MEM 279.921875 1527315388.4327
MEM 280.496094 1527315388.5373
MEM 279.238281 1527315388.6413
MEM 280.765625 1527315388.7442
MEM 280.335938 1527315388.8474
MEM 280.347656 1527315388.9530
MEM 280.351562 1527315389.0569
MEM 280.355469 1527315389.1580
MEM 279.773438 1527315389.2583
MEM 279.550781 1527315389.3628
MEM 279.187500 1527315389.4688
MEM 280.238281 1527315389.5727
MEM 280.238281 1527315389.6757
MEM 279.828125 1527315389.7760
MEM 279.832031 1527315389.8813
MEM 279.660156 1527315389.9939
MEM 279.710938 1527315390.0955
MEM 279.714844 1527315390.1964
MEM 279.718750 1527315390.2972
MEM 279.726562 1527315390.3995
MEM 286.656250 1527315390.4998
MEM 286.664062 1527315390.6031
MEM 286.671875 1527315390.7049
MEM 286.671875 1527315390.8097
MEM 287.062500 1527315390.9130
MEM 287.093750 1527315391.0155
