CMDLINE python3 server.py
MEM 0.242188 1527241925.2559
MEM 8.480469 1527241925.3571
MEM 12.320312 1527241925.4624
MEM 19.867188 1527241925.5634
MEM 24.167969 1527241925.6664
MEM 28.273438 1527241925.7709
MEM 32.765625 1527241925.8735
MEM 35.527344 1527241925.9739
MEM 37.570312 1527241926.0786
MEM 48.175781 1527241926.1832
MEM 62.738281 1527241926.2844
MEM 68.949219 1527241926.3862
MEM 72.859375 1527241926.4908
MEM 73.691406 1527241926.5922
MEM 75.460938 1527241926.6928
MEM 78.601562 1527241926.7940
MEM 84.023438 1527241926.8945
MEM 87.804688 1527241926.9954
MEM 89.308594 1527241927.0956
MEM 89.503906 1527241927.1988
MEM 91.500000 1527241927.3023
MEM 94.417969 1527241927.4077
MEM 96.691406 1527241927.5082
MEM 98.863281 1527241927.6085
MEM 102.089844 1527241927.7093
MEM 104.937500 1527241927.8124
MEM 106.558594 1527241927.9130
MEM 112.445312 1527241928.0133
MEM 115.648438 1527241928.1136
MEM 117.835938 1527241928.2147
MEM 120.273438 1527241928.3163
MEM 121.867188 1527241928.4166
MEM 125.859375 1527241928.5183
MEM 131.578125 1527241928.6211
MEM 135.046875 1527241928.7254
MEM 137.722656 1527241928.8294
MEM 140.101562 1527241928.9298
MEM 141.906250 1527241929.0305
MEM 143.054688 1527241929.1323
MEM 146.929688 1527241929.2325
MEM 149.351562 1527241929.3349
MEM 151.410156 1527241929.4357
MEM 156.050781 1527241929.5376
MEM 161.273438 1527241929.6428
MEM 166.171875 1527241929.7472
MEM 167.109375 1527241929.8503
MEM 167.597656 1527241929.9556
MEM 168.078125 1527241930.0558
MEM 168.617188 1527241930.1562
MEM 169.332031 1527241930.2580
MEM 169.960938 1527241930.3597
MEM 170.636719 1527241930.4642
MEM 171.417969 1527241930.5662
MEM 172.058594 1527241930.6683
MEM 172.714844 1527241930.7689
MEM 173.386719 1527241930.8726
MEM 173.972656 1527241930.9751
MEM 174.628906 1527241931.0794
MEM 175.246094 1527241931.1803
MEM 176.015625 1527241931.2808
MEM 176.683594 1527241931.3814
MEM 177.402344 1527241931.4821
MEM 178.070312 1527241931.5872
MEM 178.667969 1527241931.6876
MEM 179.347656 1527241931.7904
MEM 179.980469 1527241931.8949
MEM 180.296875 1527241931.9967
MEM 180.785156 1527241932.0976
MEM 181.828125 1527241932.1998
MEM 182.855469 1527241932.3035
MEM 184.082031 1527241932.4057
MEM 186.351562 1527241932.5059
MEM 193.214844 1527241932.6073
MEM 202.441406 1527241932.7111
MEM 205.207031 1527241932.8122
MEM 206.574219 1527241932.9125
MEM 207.617188 1527241933.0127
MEM 208.515625 1527241933.1162
MEM 209.289062 1527241933.2164
MEM 210.167969 1527241933.3182
MEM 212.328125 1527241933.4184
MEM 214.222656 1527241933.5188
MEM 214.265625 1527241933.6190
MEM 214.332031 1527241933.7193
MEM 214.402344 1527241933.8222
MEM 214.480469 1527241933.9225
MEM 214.507812 1527241934.0244
MEM 214.601562 1527241934.1259
MEM 214.613281 1527241934.2301
MEM 214.640625 1527241934.3343
MEM 214.746094 1527241934.4382
MEM 214.792969 1527241934.5419
MEM 214.843750 1527241934.6463
MEM 214.875000 1527241934.7472
MEM 214.921875 1527241934.8474
MEM 214.972656 1527241934.9479
MEM 215.937500 1527241935.0483
MEM 221.832031 1527241935.1489
MEM 221.941406 1527241935.2492
MEM 221.941406 1527241935.3536
MEM 221.941406 1527241935.4539
MEM 221.941406 1527241935.5577
MEM 221.941406 1527241935.6623
MEM 221.941406 1527241935.7626
MEM 221.941406 1527241935.8653
MEM 221.941406 1527241935.9691
MEM 221.941406 1527241936.0744
MEM 221.941406 1527241936.1749
MEM 221.941406 1527241936.2753
MEM 221.941406 1527241936.3756
MEM 221.941406 1527241936.4767
MEM 221.941406 1527241936.5771
MEM 221.941406 1527241936.6774
MEM 221.941406 1527241936.7777
MEM 221.941406 1527241936.8780
MEM 221.941406 1527241936.9782
MEM 221.941406 1527241937.0798
MEM 221.941406 1527241937.1816
MEM 221.941406 1527241937.2819
MEM 221.945312 1527241937.3824
MEM 221.945312 1527241937.4858
MEM 221.945312 1527241937.5894
MEM 221.945312 1527241937.6939
MEM 221.945312 1527241937.7985
MEM 221.945312 1527241937.9029
MEM 221.949219 1527241938.0068
MEM 221.949219 1527241938.1082
MEM 221.949219 1527241938.2108
MEM 221.949219 1527241938.3150
MEM 221.949219 1527241938.4153
MEM 221.949219 1527241938.5183
MEM 221.949219 1527241938.6226
MEM 221.949219 1527241938.7271
MEM 221.949219 1527241938.8275
MEM 221.949219 1527241938.9278
MEM 221.949219 1527241939.0320
MEM 221.949219 1527241939.1324
MEM 221.949219 1527241939.2327
MEM 221.949219 1527241939.3330
MEM 221.949219 1527241939.4365
MEM 221.949219 1527241939.5398
MEM 221.949219 1527241939.6400
MEM 221.949219 1527241939.7403
MEM 221.949219 1527241939.8406
MEM 221.949219 1527241939.9452
MEM 221.949219 1527241940.0480
MEM 221.949219 1527241940.1533
MEM 221.957031 1527241940.2536
MEM 221.957031 1527241940.3582
MEM 221.957031 1527241940.4601
MEM 221.960938 1527241940.5604
MEM 221.937500 1527241940.6616
MEM 221.937500 1527241940.7646
MEM 221.937500 1527241940.8649
MEM 221.941406 1527241940.9659
MEM 221.945312 1527241941.0661
MEM 221.945312 1527241941.1704
MEM 221.945312 1527241941.2754
MEM 221.945312 1527241941.3799
MEM 221.945312 1527241941.4817
MEM 221.945312 1527241941.5820
MEM 221.945312 1527241941.6823
MEM 221.945312 1527241941.7863
MEM 221.945312 1527241941.8907
MEM 221.945312 1527241941.9910
MEM 221.945312 1527241942.0921
MEM 221.945312 1527241942.1924
MEM 221.945312 1527241942.2945
MEM 221.945312 1527241942.3948
MEM 221.945312 1527241942.4950
MEM 221.945312 1527241942.5992
MEM 221.953125 1527241942.7042
MEM 221.953125 1527241942.8079
MEM 221.953125 1527241942.9093
MEM 221.953125 1527241943.0111
MEM 221.953125 1527241943.1163
MEM 221.953125 1527241943.2170
MEM 221.953125 1527241943.3211
MEM 221.953125 1527241943.4214
MEM 221.953125 1527241943.5218
MEM 221.953125 1527241943.6265
MEM 221.953125 1527241943.7269
MEM 221.953125 1527241943.8299
MEM 221.953125 1527241943.9340
MEM 221.953125 1527241944.0385
MEM 221.953125 1527241944.1430
MEM 221.957031 1527241944.2437
MEM 221.957031 1527241944.3439
MEM 221.957031 1527241944.4471
MEM 221.957031 1527241944.5506
MEM 221.957031 1527241944.6539
MEM 221.957031 1527241944.7554
MEM 221.957031 1527241944.8570
MEM 221.957031 1527241944.9615
MEM 221.957031 1527241945.0618
MEM 221.941406 1527241945.1645
MEM 221.941406 1527241945.2691
MEM 221.941406 1527241945.3695
MEM 221.941406 1527241945.4700
MEM 221.910156 1527241945.5738
MEM 221.902344 1527241945.6757
MEM 221.902344 1527241945.7784
MEM 221.902344 1527241945.8824
MEM 221.902344 1527241945.9827
MEM 221.902344 1527241946.0876
MEM 221.902344 1527241946.1879
MEM 221.902344 1527241946.2901
MEM 221.902344 1527241946.3952
MEM 221.902344 1527241946.4958
MEM 221.902344 1527241946.6002
MEM 221.902344 1527241946.7030
MEM 221.902344 1527241946.8074
MEM 221.902344 1527241946.9119
MEM 221.902344 1527241947.0164
MEM 221.902344 1527241947.1209
MEM 221.902344 1527241947.2213
MEM 221.902344 1527241947.3241
MEM 221.902344 1527241947.4254
MEM 221.902344 1527241947.5260
MEM 221.906250 1527241947.6264
MEM 221.902344 1527241947.7267
MEM 221.902344 1527241947.8270
MEM 221.902344 1527241947.9295
MEM 221.902344 1527241948.0322
MEM 221.902344 1527241948.1368
MEM 221.902344 1527241948.2411
MEM 221.902344 1527241948.3416
MEM 221.902344 1527241948.4437
MEM 221.902344 1527241948.5488
MEM 221.902344 1527241948.6533
MEM 221.902344 1527241948.7536
MEM 221.902344 1527241948.8539
MEM 221.902344 1527241948.9543
MEM 221.902344 1527241949.0546
MEM 221.902344 1527241949.1584
MEM 221.882812 1527241949.2586
MEM 221.882812 1527241949.3615
MEM 221.882812 1527241949.4660
MEM 221.882812 1527241949.5664
MEM 221.882812 1527241949.6703
MEM 221.882812 1527241949.7706
MEM 221.882812 1527241949.8709
MEM 221.882812 1527241949.9712
MEM 221.882812 1527241950.0715
MEM 221.882812 1527241950.1742
MEM 221.882812 1527241950.2786
MEM 221.882812 1527241950.3789
MEM 221.882812 1527241950.4812
MEM 221.882812 1527241950.5863
MEM 221.882812 1527241950.6866
MEM 221.882812 1527241950.7876
MEM 221.882812 1527241950.8879
MEM 221.882812 1527241950.9926
MEM 221.882812 1527241951.0971
MEM 221.882812 1527241951.2016
MEM 221.882812 1527241951.3062
MEM 221.882812 1527241951.4064
MEM 221.882812 1527241951.5067
MEM 221.882812 1527241951.6073
MEM 221.882812 1527241951.7082
MEM 221.882812 1527241951.8112
MEM 221.882812 1527241951.9156
MEM 221.882812 1527241952.0200
MEM 221.882812 1527241952.1203
MEM 221.882812 1527241952.2231
MEM 221.882812 1527241952.3236
MEM 221.882812 1527241952.4240
MEM 221.882812 1527241952.5243
MEM 221.882812 1527241952.6296
MEM 221.882812 1527241952.7299
MEM 221.882812 1527241952.8303
MEM 221.882812 1527241952.9342
MEM 221.882812 1527241953.0371
MEM 221.882812 1527241953.1374
MEM 221.882812 1527241953.2412
MEM 221.882812 1527241953.3417
