CMDLINE python3 server.py
MEM 0.246094 1527242248.8944
MEM 7.945312 1527242248.9957
MEM 10.746094 1527242249.0960
MEM 20.109375 1527242249.1964
MEM 26.554688 1527242249.2996
MEM 32.863281 1527242249.4048
MEM 36.640625 1527242249.5086
MEM 42.898438 1527242249.6127
MEM 64.410156 1527242249.7171
MEM 71.582031 1527242249.8215
MEM 73.875000 1527242249.9245
MEM 76.292969 1527242250.0252
MEM 80.433594 1527242250.1255
MEM 85.820312 1527242250.2279
MEM 89.316406 1527242250.3323
MEM 89.863281 1527242250.4368
MEM 90.921875 1527242250.5372
MEM 93.675781 1527242250.6375
MEM 95.757812 1527242250.7387
MEM 98.789062 1527242250.8431
MEM 102.273438 1527242250.9458
MEM 105.687500 1527242251.0484
MEM 112.703125 1527242251.1506
MEM 116.984375 1527242251.2509
MEM 119.570312 1527242251.3540
MEM 122.574219 1527242251.4543
MEM 128.847656 1527242251.5581
MEM 134.007812 1527242251.6620
MEM 136.367188 1527242251.7623
MEM 140.523438 1527242251.8663
MEM 142.105469 1527242251.9703
MEM 146.277344 1527242252.0718
MEM 149.472656 1527242252.1750
MEM 151.722656 1527242252.2763
MEM 156.796875 1527242252.3768
MEM 162.011719 1527242252.4787
MEM 166.718750 1527242252.5791
MEM 167.433594 1527242252.6834
MEM 167.746094 1527242252.7837
MEM 168.179688 1527242252.8841
MEM 168.777344 1527242252.9888
MEM 169.355469 1527242253.0918
MEM 169.945312 1527242253.1970
MEM 170.500000 1527242253.2973
MEM 171.093750 1527242253.3977
MEM 171.742188 1527242253.5017
MEM 172.355469 1527242253.6062
MEM 172.949219 1527242253.7065
MEM 173.554688 1527242253.8100
MEM 174.105469 1527242253.9139
MEM 174.730469 1527242254.0143
MEM 175.308594 1527242254.1190
MEM 175.925781 1527242254.2193
MEM 176.578125 1527242254.3204
MEM 177.308594 1527242254.4212
MEM 177.785156 1527242254.5215
MEM 178.304688 1527242254.6222
MEM 178.785156 1527242254.7226
MEM 179.277344 1527242254.8229
MEM 179.824219 1527242254.9233
MEM 180.375000 1527242255.0286
MEM 180.531250 1527242255.1329
MEM 181.066406 1527242255.2348
MEM 182.023438 1527242255.3351
MEM 182.937500 1527242255.4353
MEM 183.496094 1527242255.5358
MEM 185.226562 1527242255.6369
MEM 187.156250 1527242255.7406
MEM 195.679688 1527242255.8438
MEM 201.980469 1527242255.9459
MEM 204.058594 1527242256.0495
MEM 206.542969 1527242256.1498
MEM 207.562500 1527242256.2503
MEM 208.472656 1527242256.3534
MEM 208.621094 1527242256.4538
MEM 210.121094 1527242256.5541
MEM 213.148438 1527242256.6574
MEM 215.015625 1527242256.7593
MEM 215.113281 1527242256.8597
MEM 215.199219 1527242256.9615
MEM 215.308594 1527242257.0619
MEM 215.332031 1527242257.1663
MEM 215.406250 1527242257.2666
MEM 215.535156 1527242257.3678
MEM 215.582031 1527242257.4689
MEM 215.664062 1527242257.5711
MEM 215.718750 1527242257.6739
MEM 215.769531 1527242257.7757
MEM 215.839844 1527242257.8770
MEM 215.890625 1527242257.9775
MEM 215.960938 1527242258.0791
MEM 218.621094 1527242258.1807
MEM 223.011719 1527242258.2815
MEM 223.011719 1527242258.3854
MEM 223.011719 1527242258.4881
MEM 223.011719 1527242258.5931
MEM 223.019531 1527242258.6970
MEM 223.019531 1527242258.8015
MEM 223.019531 1527242258.9061
MEM 223.019531 1527242259.0106
MEM 223.019531 1527242259.1118
MEM 223.019531 1527242259.2160
MEM 223.019531 1527242259.3182
