CMDLINE python3 server.py
MEM 0.312500 1527305251.4491
MEM 13.644531 1527305251.5529
MEM 32.234375 1527305251.6536
MEM 38.539062 1527305251.7572
MEM 45.718750 1527305251.8625
MEM 49.640625 1527305251.9659
MEM 64.925781 1527305252.0698
MEM 78.953125 1527305252.1725
MEM 85.714844 1527305252.2777
MEM 87.835938 1527305252.3787
MEM 93.296875 1527305252.4791
MEM 100.519531 1527305252.5825
MEM 101.871094 1527305252.6877
MEM 105.871094 1527305252.7893
MEM 109.382812 1527305252.8944
MEM 114.074219 1527305252.9958
MEM 118.019531 1527305253.0961
MEM 123.753906 1527305253.1963
MEM 129.000000 1527305253.2966
MEM 132.050781 1527305253.3969
MEM 134.722656 1527305253.4972
MEM 141.902344 1527305253.6024
MEM 148.097656 1527305253.7041
MEM 152.507812 1527305253.8049
MEM 155.003906 1527305253.9052
MEM 160.480469 1527305254.0059
MEM 164.011719 1527305254.1101
MEM 175.863281 1527305254.2112
MEM 181.816406 1527305254.3144
MEM 184.785156 1527305254.4196
MEM 186.027344 1527305254.5215
MEM 187.515625 1527305254.6267
MEM 189.101562 1527305254.7319
MEM 190.488281 1527305254.8353
MEM 191.855469 1527305254.9387
MEM 193.234375 1527305255.0404
MEM 194.851562 1527305255.1440
MEM 196.152344 1527305255.2467
MEM 197.359375 1527305255.3518
MEM 198.093750 1527305255.4550
MEM 199.800781 1527305255.5559
MEM 202.535156 1527305255.6565
MEM 215.625000 1527305255.7616
MEM 222.636719 1527305255.8668
MEM 223.992188 1527305255.9678
MEM 225.453125 1527305256.0720
MEM 231.558594 1527305256.1739
MEM 234.507812 1527305256.2760
MEM 234.796875 1527305256.3771
MEM 234.929688 1527305256.4795
MEM 235.125000 1527305256.5836
MEM 235.425781 1527305256.6864
MEM 235.660156 1527305256.7915
MEM 235.796875 1527305256.8918
MEM 235.917969 1527305256.9931
MEM 240.046875 1527305257.0968
MEM 248.109375 1527305257.2021
MEM 247.617188 1527305257.3035
