CMDLINE python3 server.py
MEM 0.250000 1527305872.2644
MEM 13.503906 1527305872.3696
MEM 39.945312 1527305872.4720
MEM 50.132812 1527305872.5726
MEM 82.808594 1527305872.6755
MEM 88.222656 1527305872.7796
MEM 99.007812 1527305872.8848
MEM 102.050781 1527305872.9900
MEM 108.148438 1527305873.0950
MEM 117.023438 1527305873.1961
MEM 127.195312 1527305873.3011
MEM 134.523438 1527305873.4063
MEM 147.628906 1527305873.5098
MEM 154.074219 1527305873.6150
MEM 162.425781 1527305873.7202
MEM 170.210938 1527305873.8215
MEM 183.015625 1527305873.9221
MEM 185.531250 1527305874.0264
MEM 186.593750 1527305874.1305
MEM 187.605469 1527305874.2344
MEM 189.070312 1527305874.3396
MEM 190.402344 1527305874.4447
MEM 191.781250 1527305874.5456
MEM 193.035156 1527305874.6485
MEM 194.488281 1527305874.7488
MEM 195.871094 1527305874.8540
MEM 197.367188 1527305874.9592
MEM 198.246094 1527305875.0639
MEM 200.417969 1527305875.1677
MEM 204.132812 1527305875.2701
MEM 220.125000 1527305875.3710
MEM 222.277344 1527305875.4762
MEM 224.160156 1527305875.5811
MEM 227.007812 1527305875.6841
MEM 233.632812 1527305875.7848
MEM 233.835938 1527305875.8851
MEM 233.980469 1527305875.9853
MEM 234.160156 1527305876.0856
MEM 234.355469 1527305876.1909
MEM 234.449219 1527305876.2947
MEM 234.609375 1527305876.3962
MEM 246.734375 1527305876.5011
MEM 246.734375 1527305876.6017
MEM 246.742188 1527305876.7071
MEM 246.742188 1527305876.8097
MEM 246.742188 1527305876.9152
MEM 246.742188 1527305877.0204
MEM 246.742188 1527305877.1259
MEM 246.742188 1527305877.2271
MEM 246.742188 1527305877.3325
MEM 246.742188 1527305877.4364
MEM 246.742188 1527305877.5416
MEM 246.742188 1527305877.6438
MEM 246.742188 1527305877.7459
MEM 246.742188 1527305877.8473
MEM 246.742188 1527305877.9500
MEM 246.742188 1527305878.0540
MEM 246.742188 1527305878.1589
MEM 246.742188 1527305878.2599
MEM 246.742188 1527305878.3650
MEM 246.742188 1527305878.4693
MEM 246.742188 1527305878.5712
MEM 246.742188 1527305878.6741
MEM 246.742188 1527305878.7766
MEM 246.742188 1527305878.8785
MEM 246.742188 1527305878.9823
MEM 246.742188 1527305879.0857
MEM 246.742188 1527305879.1908
MEM 246.742188 1527305879.2948
MEM 246.742188 1527305879.3987
MEM 246.742188 1527305879.5010
MEM 246.742188 1527305879.6065
MEM 246.742188 1527305879.7109
MEM 246.742188 1527305879.8153
MEM 246.742188 1527305879.9188
MEM 246.742188 1527305880.0228
MEM 246.742188 1527305880.1258
MEM 246.773438 1527305880.2286
MEM 246.773438 1527305880.3338
MEM 246.773438 1527305880.4391
MEM 246.773438 1527305880.5430
MEM 246.777344 1527305880.6446
MEM 246.777344 1527305880.7489
MEM 246.777344 1527305880.8542
MEM 246.777344 1527305880.9568
MEM 246.777344 1527305881.0608
MEM 246.777344 1527305881.1613
MEM 246.777344 1527305881.2625
MEM 246.777344 1527305881.3664
MEM 246.789062 1527305881.4702
MEM 246.789062 1527305881.5754
MEM 246.789062 1527305881.6792
MEM 246.789062 1527305881.7798
MEM 246.761719 1527305881.8842
MEM 246.746094 1527305881.9879
MEM 246.746094 1527305882.0884
MEM 246.750000 1527305882.1933
MEM 246.750000 1527305882.2988
MEM 246.750000 1527305882.4028
MEM 246.753906 1527305882.5068
MEM 246.753906 1527305882.6071
MEM 246.753906 1527305882.7093
MEM 246.753906 1527305882.8113
MEM 246.753906 1527305882.9132
MEM 246.753906 1527305883.0187
MEM 246.753906 1527305883.1191
MEM 246.753906 1527305883.2234
MEM 246.753906 1527305883.3251
MEM 246.753906 1527305883.4305
MEM 246.753906 1527305883.5310
MEM 246.753906 1527305883.6354
MEM 246.753906 1527305883.7357
MEM 246.753906 1527305883.8369
MEM 246.753906 1527305883.9374
MEM 246.753906 1527305884.0399
