CMDLINE python3 server.py
MEM 0.347656 1527306211.5729
MEM 15.667969 1527306211.6763
MEM 40.726562 1527306211.7771
MEM 50.593750 1527306211.8803
MEM 83.507812 1527306211.9835
MEM 88.625000 1527306212.0859
MEM 99.742188 1527306212.1882
MEM 102.089844 1527306212.2889
MEM 106.949219 1527306212.3931
MEM 114.832031 1527306212.4945
MEM 124.859375 1527306212.5978
MEM 133.820312 1527306212.7003
MEM 145.152344 1527306212.8041
MEM 153.320312 1527306212.9054
MEM 160.203125 1527306213.0074
MEM 166.433594 1527306213.1098
MEM 180.949219 1527306213.2112
MEM 185.019531 1527306213.3146
MEM 186.023438 1527306213.4162
MEM 187.132812 1527306213.5196
MEM 188.523438 1527306213.6218
MEM 190.046875 1527306213.7222
MEM 191.437500 1527306213.8266
MEM 192.839844 1527306213.9294
MEM 193.996094 1527306214.0309
MEM 195.457031 1527306214.1348
MEM 196.847656 1527306214.2365
MEM 197.746094 1527306214.3383
MEM 199.156250 1527306214.4386
MEM 201.003906 1527306214.5408
MEM 205.355469 1527306214.6460
MEM 220.800781 1527306214.7482
MEM 224.019531 1527306214.8506
MEM 226.203125 1527306214.9540
MEM 232.753906 1527306215.0543
MEM 235.445312 1527306215.1547
MEM 235.636719 1527306215.2549
MEM 235.828125 1527306215.3550
MEM 236.156250 1527306215.4553
MEM 236.445312 1527306215.5606
MEM 236.714844 1527306215.6658
MEM 244.535156 1527306215.7678
MEM 248.937500 1527306215.8694
MEM 248.941406 1527306215.9701
MEM 248.945312 1527306216.0705
MEM 248.945312 1527306216.1710
MEM 248.945312 1527306216.2716
MEM 248.945312 1527306216.3770
MEM 248.945312 1527306216.4825
MEM 248.945312 1527306216.5880
MEM 248.945312 1527306216.6934
MEM 248.945312 1527306216.7941
MEM 248.945312 1527306216.8975
MEM 248.945312 1527306217.0017
MEM 248.945312 1527306217.1036
MEM 248.945312 1527306217.2060
MEM 248.945312 1527306217.3083
MEM 248.945312 1527306217.4111
MEM 248.945312 1527306217.5136
MEM 248.945312 1527306217.6156
MEM 248.945312 1527306217.7210
MEM 248.945312 1527306217.8265
MEM 248.945312 1527306217.9320
MEM 248.945312 1527306218.0374
MEM 248.945312 1527306218.1403
MEM 248.945312 1527306218.2433
MEM 248.945312 1527306218.3439
MEM 248.945312 1527306218.4457
MEM 248.945312 1527306218.5463
MEM 248.945312 1527306218.6502
MEM 248.945312 1527306218.7544
