CMDLINE python3 server.py
MEM 0.246094 1527305540.0730
MEM 17.429688 1527305540.1782
MEM 41.164062 1527305540.2801
MEM 50.277344 1527305540.3831
MEM 83.644531 1527305540.4882
MEM 88.800781 1527305540.5911
MEM 100.035156 1527305540.6951
MEM 102.503906 1527305540.7991
MEM 107.742188 1527305540.9038
MEM 115.406250 1527305541.0061
MEM 124.992188 1527305541.1100
MEM 133.101562 1527305541.2141
MEM 143.082031 1527305541.3146
MEM 151.671875 1527305541.4158
MEM 157.917969 1527305541.5191
MEM 164.304688 1527305541.6211
MEM 194.207031 1527305541.7217
MEM 184.824219 1527305541.8255
MEM 185.968750 1527305541.9275
MEM 187.093750 1527305542.0326
MEM 188.199219 1527305542.1378
MEM 189.535156 1527305542.2417
MEM 190.785156 1527305542.3451
MEM 192.035156 1527305542.4455
MEM 193.367188 1527305542.5497
MEM 194.765625 1527305542.6514
MEM 196.175781 1527305542.7566
MEM 197.613281 1527305542.8594
MEM 198.277344 1527305542.9608
MEM 200.546875 1527305543.0612
MEM 203.523438 1527305543.1617
MEM 215.937500 1527305543.2619
MEM 221.992188 1527305543.3650
MEM 228.601562 1527305543.4661
MEM 229.558594 1527305543.5698
MEM 237.734375 1527305543.6720
MEM 237.906250 1527305543.7765
MEM 238.019531 1527305543.8794
MEM 238.281250 1527305543.9796
MEM 238.601562 1527305544.0801
MEM 238.875000 1527305544.1849
MEM 239.101562 1527305544.2851
MEM 248.851562 1527305544.3874
MEM 251.359375 1527305544.4879
MEM 248.378906 1527305544.5889
