CMDLINE python3 server.py
MEM 0.246094 1527306035.2075
MEM 13.300781 1527306035.3115
MEM 40.039062 1527306035.4128
MEM 50.269531 1527306035.5139
MEM 83.652344 1527306035.6187
MEM 89.578125 1527306035.7234
MEM 100.535156 1527306035.8286
MEM 103.242188 1527306035.9337
MEM 108.699219 1527306036.0389
MEM 118.011719 1527306036.1441
MEM 128.152344 1527306036.2463
MEM 134.660156 1527306036.3514
MEM 147.945312 1527306036.4566
MEM 154.031250 1527306036.5568
MEM 162.402344 1527306036.6600
MEM 170.882812 1527306036.7606
MEM 182.679688 1527306036.8646
MEM 184.867188 1527306036.9649
MEM 186.070312 1527306037.0664
MEM 187.484375 1527306037.1705
MEM 189.000000 1527306037.2754
MEM 190.164062 1527306037.3795
MEM 191.492188 1527306037.4845
MEM 192.925781 1527306037.5897
MEM 194.546875 1527306037.6941
MEM 195.828125 1527306037.7971
MEM 197.253906 1527306037.9021
MEM 198.140625 1527306038.0071
MEM 200.402344 1527306038.1112
MEM 204.402344 1527306038.2124
MEM 222.019531 1527306038.3163
MEM 227.097656 1527306038.4201
MEM 231.855469 1527306038.5253
MEM 236.156250 1527306038.6287
MEM 240.722656 1527306038.7292
MEM 240.871094 1527306038.8297
MEM 240.992188 1527306038.9299
MEM 241.105469 1527306039.0305
MEM 241.347656 1527306039.1348
MEM 241.562500 1527306039.2355
MEM 242.828125 1527306039.3390
MEM 253.964844 1527306039.4403
MEM 249.718750 1527306039.5448
MEM 238.945312 1527306039.6468
