CMDLINE python3 server.py
MEM 0.246094 1527242307.1519
MEM 8.234375 1527242307.2540
MEM 11.136719 1527242307.3543
MEM 20.789062 1527242307.4546
MEM 27.542969 1527242307.5576
MEM 34.695312 1527242307.6602
MEM 37.015625 1527242307.7643
MEM 50.394531 1527242307.8697
MEM 66.664062 1527242307.9703
MEM 72.628906 1527242308.0709
MEM 73.722656 1527242308.1746
MEM 77.027344 1527242308.2778
MEM 82.742188 1527242308.3820
MEM 87.304688 1527242308.4822
MEM 89.343750 1527242308.5825
MEM 89.675781 1527242308.6828
MEM 90.503906 1527242308.7858
MEM 92.417969 1527242308.8909
MEM 95.187500 1527242308.9953
MEM 97.550781 1527242309.0997
MEM 101.628906 1527242309.2004
MEM 105.472656 1527242309.3008
MEM 110.906250 1527242309.4045
MEM 116.031250 1527242309.5089
MEM 118.593750 1527242309.6106
MEM 121.414062 1527242309.7152
MEM 126.707031 1527242309.8181
MEM 132.632812 1527242309.9205
MEM 135.636719 1527242310.0209
MEM 139.324219 1527242310.1229
MEM 140.949219 1527242310.2259
MEM 144.179688 1527242310.3300
MEM 149.257812 1527242310.4349
MEM 150.515625 1527242310.5398
MEM 154.304688 1527242310.6402
MEM 170.187500 1527242310.7426
MEM 164.058594 1527242310.8471
MEM 167.257812 1527242310.9516
MEM 167.707031 1527242311.0560
MEM 168.164062 1527242311.1605
MEM 168.750000 1527242311.2656
MEM 169.421875 1527242311.3697
MEM 170.027344 1527242311.4742
MEM 170.648438 1527242311.5784
MEM 171.300781 1527242311.6825
MEM 172.015625 1527242311.7874
MEM 172.691406 1527242311.8919
MEM 173.300781 1527242311.9964
MEM 173.933594 1527242312.1009
MEM 174.531250 1527242312.2054
MEM 175.207031 1527242312.3099
MEM 175.859375 1527242312.4143
MEM 176.562500 1527242312.5188
MEM 177.335938 1527242312.6233
MEM 177.964844 1527242312.7278
MEM 178.570312 1527242312.8326
MEM 179.226562 1527242312.9368
MEM 179.824219 1527242313.0412
MEM 180.476562 1527242313.1457
MEM 180.679688 1527242313.2502
MEM 181.273438 1527242313.3547
MEM 182.660156 1527242313.4594
MEM 183.300781 1527242313.5597
MEM 184.988281 1527242313.6633
MEM 187.054688 1527242313.7669
MEM 194.835938 1527242313.8714
MEM 203.152344 1527242313.9758
MEM 204.140625 1527242314.0804
MEM 205.367188 1527242314.1849
MEM 206.968750 1527242314.2893
MEM 210.359375 1527242314.3938
MEM 210.601562 1527242314.4983
MEM 211.566406 1527242314.6028
MEM 214.542969 1527242314.7078
MEM 216.406250 1527242314.8117
MEM 216.496094 1527242314.9170
MEM 216.617188 1527242315.0210
MEM 216.730469 1527242315.1261
MEM 216.757812 1527242315.2297
MEM 216.851562 1527242315.3343
MEM 216.898438 1527242315.4386
MEM 217.031250 1527242315.5391
MEM 217.132812 1527242315.6418
MEM 217.246094 1527242315.7463
MEM 217.273438 1527242315.8510
MEM 217.359375 1527242315.9554
MEM 217.433594 1527242316.0597
MEM 217.562500 1527242316.1642
MEM 219.796875 1527242316.2688
MEM 224.417969 1527242316.3733
MEM 224.417969 1527242316.4776
MEM 224.417969 1527242316.5781
MEM 224.417969 1527242316.6802
MEM 224.417969 1527242316.7829
MEM 224.417969 1527242316.8853
MEM 224.417969 1527242316.9858
MEM 224.425781 1527242317.0861
MEM 224.425781 1527242317.1895
MEM 224.425781 1527242317.2937
MEM 224.425781 1527242317.3976
MEM 224.425781 1527242317.4989
MEM 224.425781 1527242317.5992
MEM 224.425781 1527242317.7025
MEM 224.425781 1527242317.8069
MEM 224.425781 1527242317.9072
MEM 224.425781 1527242318.0101
MEM 224.425781 1527242318.1140
MEM 224.425781 1527242318.2169
MEM 224.425781 1527242318.3201
MEM 224.425781 1527242318.4224
MEM 224.429688 1527242318.5269
MEM 224.433594 1527242318.6272
MEM 224.433594 1527242318.7275
MEM 224.437500 1527242318.8342
MEM 224.437500 1527242318.9348
MEM 224.437500 1527242319.0376
MEM 224.437500 1527242319.1422
MEM 224.437500 1527242319.2466
MEM 224.437500 1527242319.3515
MEM 224.437500 1527242319.4518
MEM 224.437500 1527242319.5522
MEM 224.437500 1527242319.6530
MEM 224.437500 1527242319.7535
MEM 224.437500 1527242319.8560
MEM 224.437500 1527242319.9577
MEM 224.437500 1527242320.0581
MEM 224.437500 1527242320.1592
MEM 224.437500 1527242320.2603
MEM 224.437500 1527242320.3638
MEM 224.437500 1527242320.4668
MEM 224.437500 1527242320.5672
MEM 224.437500 1527242320.6683
MEM 224.437500 1527242320.7700
MEM 224.437500 1527242320.8718
MEM 224.437500 1527242320.9723
MEM 224.437500 1527242321.0750
MEM 224.437500 1527242321.1772
MEM 224.437500 1527242321.2777
MEM 224.445312 1527242321.3827
MEM 224.445312 1527242321.4873
MEM 224.445312 1527242321.5917
MEM 224.445312 1527242321.6931
MEM 224.429688 1527242321.7971
MEM 224.390625 1527242321.8974
MEM 224.390625 1527242321.9981
MEM 224.390625 1527242322.0984
MEM 224.390625 1527242322.1986
MEM 224.390625 1527242322.3032
MEM 224.390625 1527242322.4044
MEM 224.390625 1527242322.5089
MEM 224.390625 1527242322.6092
MEM 224.390625 1527242322.7120
MEM 224.390625 1527242322.8170
MEM 224.390625 1527242322.9212
MEM 224.390625 1527242323.0254
MEM 224.390625 1527242323.1258
MEM 224.390625 1527242323.2261
MEM 224.390625 1527242323.3275
MEM 224.390625 1527242323.4295
MEM 224.390625 1527242323.5339
MEM 224.390625 1527242323.6361
MEM 224.390625 1527242323.7391
MEM 224.390625 1527242323.8439
MEM 224.390625 1527242323.9484
MEM 224.390625 1527242324.0511
MEM 224.390625 1527242324.1540
MEM 224.390625 1527242324.2561
MEM 224.390625 1527242324.3565
MEM 224.390625 1527242324.4597
MEM 224.390625 1527242324.5644
MEM 224.390625 1527242324.6690
MEM 224.390625 1527242324.7728
MEM 224.390625 1527242324.8772
MEM 224.390625 1527242324.9799
MEM 224.390625 1527242325.0803
MEM 224.390625 1527242325.1842
MEM 224.390625 1527242325.2850
MEM 224.390625 1527242325.3880
MEM 224.390625 1527242325.4886
MEM 224.390625 1527242325.5922
MEM 224.390625 1527242325.6957
MEM 224.390625 1527242325.7960
MEM 224.390625 1527242325.8963
MEM 224.390625 1527242325.9975
MEM 224.390625 1527242326.0981
MEM 224.390625 1527242326.2008
MEM 224.390625 1527242326.3054
MEM 224.390625 1527242326.4098
MEM 224.390625 1527242326.5108
MEM 224.390625 1527242326.6116
MEM 224.359375 1527242326.7137
MEM 224.351562 1527242326.8141
MEM 224.351562 1527242326.9153
MEM 224.351562 1527242327.0159
MEM 224.351562 1527242327.1166
MEM 224.351562 1527242327.2182
MEM 224.351562 1527242327.3215
MEM 224.351562 1527242327.4242
MEM 224.351562 1527242327.5245
MEM 224.351562 1527242327.6248
MEM 224.351562 1527242327.7275
MEM 224.351562 1527242327.8296
MEM 224.351562 1527242327.9299
MEM 224.351562 1527242328.0304
MEM 224.351562 1527242328.1346
MEM 224.351562 1527242328.2365
MEM 224.351562 1527242328.3375
MEM 224.351562 1527242328.4421
MEM 224.351562 1527242328.5429
MEM 224.351562 1527242328.6478
MEM 224.351562 1527242328.7480
MEM 224.351562 1527242328.8518
MEM 224.351562 1527242328.9522
MEM 224.351562 1527242329.0571
MEM 224.351562 1527242329.1588
MEM 224.351562 1527242329.2591
MEM 224.351562 1527242329.3644
MEM 224.351562 1527242329.4647
MEM 224.351562 1527242329.5680
MEM 224.351562 1527242329.6719
MEM 224.351562 1527242329.7764
MEM 224.351562 1527242329.8809
MEM 224.351562 1527242329.9855
MEM 224.351562 1527242330.0860
MEM 224.351562 1527242330.1888
MEM 224.351562 1527242330.2936
MEM 224.328125 1527242330.3949
MEM 224.328125 1527242330.4962
MEM 224.328125 1527242330.6007
MEM 224.328125 1527242330.7052
MEM 224.328125 1527242330.8080
MEM 224.328125 1527242330.9083
MEM 224.328125 1527242331.0087
MEM 224.328125 1527242331.1104
MEM 224.328125 1527242331.2133
MEM 224.328125 1527242331.3146
MEM 224.328125 1527242331.4192
MEM 224.328125 1527242331.5198
MEM 224.328125 1527242331.6223
MEM 224.328125 1527242331.7231
MEM 224.328125 1527242331.8262
MEM 224.328125 1527242331.9300
MEM 224.328125 1527242332.0306
MEM 224.328125 1527242332.1349
MEM 224.328125 1527242332.2354
MEM 224.328125 1527242332.3364
MEM 224.328125 1527242332.4411
MEM 224.328125 1527242332.5454
MEM 224.328125 1527242332.6497
MEM 224.328125 1527242332.7500
MEM 224.328125 1527242332.8531
MEM 224.328125 1527242332.9538
MEM 224.328125 1527242333.0561
MEM 224.328125 1527242333.1565
MEM 224.328125 1527242333.2569
MEM 224.328125 1527242333.3598
MEM 224.328125 1527242333.4633
MEM 224.328125 1527242333.5665
MEM 224.328125 1527242333.6695
MEM 224.328125 1527242333.7703
MEM 224.328125 1527242333.8710
MEM 224.328125 1527242333.9715
MEM 224.328125 1527242334.0717
MEM 224.328125 1527242334.1725
MEM 224.328125 1527242334.2728
MEM 224.328125 1527242334.3733
MEM 224.328125 1527242334.4783
MEM 224.328125 1527242334.5786
MEM 224.328125 1527242334.6806
MEM 224.328125 1527242334.7852
MEM 224.328125 1527242334.8855
MEM 224.328125 1527242334.9858
MEM 224.328125 1527242335.0878
MEM 224.328125 1527242335.1891
MEM 224.328125 1527242335.2895
MEM 224.328125 1527242335.3905
MEM 224.328125 1527242335.4944
MEM 224.328125 1527242335.5985
MEM 224.328125 1527242335.7032
MEM 224.328125 1527242335.8076
MEM 224.328125 1527242335.9120
MEM 224.328125 1527242336.0152
MEM 224.328125 1527242336.1194
MEM 224.328125 1527242336.2215
MEM 224.328125 1527242336.3221
MEM 224.328125 1527242336.4228
MEM 224.328125 1527242336.5274
MEM 224.328125 1527242336.6319
MEM 224.328125 1527242336.7324
MEM 224.328125 1527242336.8365
MEM 224.328125 1527242336.9372
MEM 224.328125 1527242337.0398
MEM 224.328125 1527242337.1426
MEM 224.328125 1527242337.2465
MEM 224.328125 1527242337.3469
MEM 224.328125 1527242337.4504
MEM 224.328125 1527242337.5548
MEM 224.328125 1527242337.6556
MEM 224.328125 1527242337.7560
MEM 224.328125 1527242337.8610
MEM 224.328125 1527242337.9634
MEM 224.328125 1527242338.0645
MEM 224.328125 1527242338.1698
MEM 224.328125 1527242338.2728
MEM 224.328125 1527242338.3743
MEM 224.328125 1527242338.4783
MEM 224.328125 1527242338.5786
MEM 224.328125 1527242338.6790
MEM 224.328125 1527242338.7794
MEM 224.328125 1527242338.8801
MEM 224.328125 1527242338.9810
MEM 224.328125 1527242339.0814
MEM 224.328125 1527242339.1859
MEM 224.328125 1527242339.2885
MEM 224.328125 1527242339.3909
MEM 224.328125 1527242339.4913
MEM 224.328125 1527242339.5918
MEM 224.328125 1527242339.6968
MEM 224.328125 1527242339.7971
MEM 224.328125 1527242339.9000
MEM 224.328125 1527242340.0045
MEM 224.328125 1527242340.1048
MEM 224.328125 1527242340.2053
MEM 224.328125 1527242340.3067
MEM 224.328125 1527242340.4071
MEM 224.328125 1527242340.5110
MEM 224.328125 1527242340.6129
MEM 224.328125 1527242340.7136
MEM 224.328125 1527242340.8178
MEM 224.328125 1527242340.9216
MEM 224.328125 1527242341.0239
MEM 224.328125 1527242341.1254
MEM 224.328125 1527242341.2276
MEM 224.328125 1527242341.3287
MEM 224.328125 1527242341.4324
MEM 224.339844 1527242341.5369
MEM 224.339844 1527242341.6373
MEM 224.339844 1527242341.7407
MEM 224.339844 1527242341.8415
MEM 224.339844 1527242341.9431
MEM 224.339844 1527242342.0434
MEM 224.339844 1527242342.1440
MEM 224.339844 1527242342.2451
MEM 224.339844 1527242342.3496
MEM 224.339844 1527242342.4541
MEM 224.339844 1527242342.5581
MEM 224.339844 1527242342.6585
MEM 224.339844 1527242342.7624
MEM 224.339844 1527242342.8661
MEM 224.339844 1527242342.9707
MEM 224.339844 1527242343.0753
MEM 224.339844 1527242343.1805
MEM 224.339844 1527242343.2811
MEM 239.367188 1527242343.3841
MEM 249.945312 1527242343.4852
MEM 251.925781 1527242343.5858
MEM 252.355469 1527242343.6904
MEM 252.039062 1527242343.7909
MEM 252.585938 1527242343.8914
MEM 252.914062 1527242343.9943
MEM 253.621094 1527242344.0984
MEM 253.625000 1527242344.1992
MEM 253.625000 1527242344.3046
MEM 253.625000 1527242344.4070
MEM 253.628906 1527242344.5117
MEM 253.632812 1527242344.6239
MEM 253.640625 1527242344.7278
MEM 253.640625 1527242344.8283
MEM 253.644531 1527242344.9302
MEM 253.644531 1527242345.0336
MEM 253.644531 1527242345.1343
MEM 253.652344 1527242345.2374
MEM 253.664062 1527242345.3406
MEM 253.664062 1527242345.4414
MEM 253.664062 1527242345.5469
MEM 253.664062 1527242345.6498
MEM 253.671875 1527242345.7511
MEM 253.679688 1527242345.8515
MEM 253.687500 1527242345.9533
MEM 253.691406 1527242346.0539
MEM 253.699219 1527242346.1545
MEM 253.707031 1527242346.2567
MEM 253.707031 1527242346.3581
MEM 253.710938 1527242346.4596
MEM 253.710938 1527242346.5629
MEM 253.718750 1527242346.6692
MEM 255.832031 1527242346.7710
MEM 256.722656 1527242346.8724
MEM 257.882812 1527242346.9731
MEM 257.890625 1527242347.0739
MEM 257.890625 1527242347.1743
MEM 257.890625 1527242347.2796
MEM 257.902344 1527242347.3822
MEM 257.902344 1527242347.4867
MEM 257.914062 1527242347.5979
MEM 257.917969 1527242347.6985
MEM 257.921875 1527242347.7997
MEM 257.921875 1527242347.9065
MEM 257.925781 1527242348.0135
MEM 257.929688 1527242348.1154
MEM 257.937500 1527242348.2160
MEM 257.937500 1527242348.3182
MEM 257.941406 1527242348.4218
MEM 257.941406 1527242348.5269
MEM 257.949219 1527242348.6292
MEM 257.949219 1527242348.7386
MEM 257.953125 1527242348.8403
MEM 257.960938 1527242348.9441
MEM 257.968750 1527242349.0452
MEM 257.972656 1527242349.1461
MEM 257.972656 1527242349.2551
MEM 257.976562 1527242349.3576
MEM 257.980469 1527242349.4624
MEM 257.984375 1527242349.5631
MEM 257.984375 1527242349.6647
MEM 257.996094 1527242349.7660
MEM 258.003906 1527242349.8807
MEM 258.007812 1527242349.9829
MEM 258.011719 1527242350.0873
MEM 258.015625 1527242350.1924
MEM 258.015625 1527242350.2963
MEM 258.019531 1527242350.4008
MEM 258.027344 1527242350.5018
MEM 258.027344 1527242350.6050
MEM 258.031250 1527242350.7088
MEM 258.039062 1527242350.8130
